question,topic,crop,agro_zone,document_id,reference_answer,QuestionId
Symptoms of Newcastle disease in chickens?,livestock,livestock,sub_humid,doc_liv_001,"Respiratory distress, greenish diarrhoea, and sudden mortality.",35
How do I reduce heat stress in dairy cows?,climate_adaptation,livestock,semi_arid,doc_cli_002,"Provide shade, night grazing, and clean water; avoid afternoon work.",36
When should I treat fall armyworm?,pests,maize,semi_arid,doc_pes_001,When more than ten percent of plants are infested at early vegetative stage.,37
Why mulch with drip irrigation?,water_management,general,sub_humid,doc_wat_002,Mulch keeps soil moisture stable and cuts evaporation between cycles.,38
Beans have hollow stems — nutrient issue?,fertiliser,beans,highland,doc_fer_003,Possible boron deficiency on sandy acidic soils; use foliar boron at safe rates.,39
Sticky soot on seedlings in the nursery.,pests,general,highland,doc_pes_003,Aphid honeydew leading to sooty mould; wash aphids and protect natural enemies.,40
Cows panting in afternoon sun — management?,climate_adaptation,livestock,semi_arid,doc_cli_002,"Shade, water ad libitum, and avoid working animals in peak heat.",41
How do I make hay for the dry season?,livestock,livestock,semi_arid,doc_liv_002,"Harvest forage at boot stage, sun-dry on racks, and store under cover.",42
Weeds between seasons — cover crop option?,soil_health,general,sub_humid,doc_soi_002,Mucuna or lablab as cover crops terminated before hard seed.,43
How do I reduce bean rust spread?,crop_diseases,beans,highland,doc_dis_002,"Use clean seed, avoid dusk overhead irrigation, and remove infected debris.",44
Sudden chicken deaths with green droppings.,livestock,livestock,sub_humid,doc_liv_001,Suspect Newcastle disease; vaccinate on schedule and isolate sick birds.,45
