document_id,title,topic,crop,agro_zone,text,origin,source_url,license
doc_wat_001,Rainwater harvesting from roofs,water_management,general,semi_arid,Roof catchment systems channel rain into screened tanks for supplemental irrigation. First-flush diverters reduce dust and bird droppings entering storage. Size tanks to expected dry-season irrigation demand and maintain mosquito-proof covers.,synthetic,,CC0-1.0
doc_wat_002,Drip irrigation for vegetables,water_management,general,sub_humid,"Drip lines deliver water at the root zone, cutting losses from evaporation and runoff. Filter water to prevent emitter clogging and flush lines weekly in sandy soils. Mulch beds to keep soil moisture stable between irrigation cycles.",synthetic,,CC0-1.0
doc_wat_003,Contour bunds on slopes,water_management,general,highland,Contour bunds slow runoff and increase infiltration on sloping fields. Stabilise bunds with grass strips and repair breaches after heavy storms. Plant deep-rooted perennials on upper contours to anchor soil.,synthetic,,CC0-1.0
doc_fer_001,Balanced NPK for maize,fertiliser,maize,sub_humid,Maize responds to nitrogen but also needs phosphorus for root development and potassium for stalk strength. Place phosphorus near the planting hole and top-dress nitrogen at knee height. Do not apply fertiliser on dry soil without imminent rain or irrigation.,synthetic,,CC0-1.0
doc_fer_002,Organic manure application rates,fertiliser,general,sub_humid,"Well-composted farmyard manure supplies slow-release nutrients and improves soil biology. Apply five to ten tonnes per hectare before planting, avoiding fresh manure on leafy vegetables. Combine manure with a modest mineral top-dress where soil tests show gaps.",synthetic,,CC0-1.0
doc_fer_003,Micronutrient boron in legumes,fertiliser,beans,highland,Boron deficiency causes hollow stems and poor pod set in beans on sandy acidic soils. Use foliar boron only at recommended rates because excess is toxic. Correct underlying acidity and organic matter deficits before relying on foliar sprays alone.,synthetic,,CC0-1.0
doc_liv_001,Newcastle disease in village chickens,livestock,livestock,sub_humid,"Newcastle disease causes respiratory distress, greenish diarrhoea, and sudden flock mortality. Vaccinate chicks on schedule using eye-drop or drinking-water protocols from extension services. Isolate sick birds and disinfect feeders between batches.",synthetic,,CC0-1.0
doc_liv_002,Dry-season fodder conservation,livestock,livestock,semi_arid,Harvest surplus forage at boot stage and sun-dry on raised racks to make hay. Store under cover to prevent mould and nutrient loss. Supplement with mineral blocks when grazing quality falls below maintenance needs.,synthetic,,CC0-1.0
doc_liv_003,Tsetse-free corralling practices,livestock,livestock,sub_humid,Night corralling in smoke-treated pens reduces tsetse exposure for cattle in fly belts. Clear bush within fifty metres of kraals and rotate grazing away from riverine vegetation at peak fly hours. Combine community spraying with trypanosomiasis screening where veterinary services are available.,synthetic,,CC0-1.0
doc_pos_001,Hermetic storage for maize grain,post_harvest,maize,semi_arid,Hermetic bags or silos exclude oxygen and stop maize weevils without chemical dust. Dry grain to twelve to thirteen percent moisture before sealing. Inspect bags monthly for punctures and reseal promptly.,synthetic,,CC0-1.0
doc_pos_002,Aflatoxin prevention in groundnuts,post_harvest,groundnuts,semi_arid,Aflatoxin risk rises when groundnuts are left damp after harvest or stored on bare soil. Dry pods quickly on raised mats and sort out mouldy kernels before bagging. Keep storage rooms ventilated and elevated off the ground.,synthetic,,CC0-1.0
doc_pos_003,Cassava chip drying standards,post_harvest,cassava,sub_humid,Cassava chips should be dried to below fourteen percent moisture to prevent spoilage and cyanide concerns. Slice uniformly and sun-dry on black plastic or raised racks with regular turning. Store dry chips in woven bags off the floor in a rodent-proof room.,synthetic,,CC0-1.0
